,name,rating,reviews,highly rated for,critically rated for,details,jobs
14,Galaxy Surfactants,3.9,326,"Job Security, Skill Development / Learning",Promotions / Appraisal,Chemicals | 1k-5k Employees | Public | 44 years old | Mumbai +11 more,326
15,Sleek International,3.8,326,Job Security,"Promotions / Appraisal, Salary & Benefits",Furniture & Furnishing | 501-1k Employees | 31 years old | Mumbai +79 more,326
16,Ofbusiness,3.0,326,"Job Security, Work Satisfaction, Work Life Balance",,Internet | 1k-5k Employees | Indian Unicorn | 9 years old | Gurgaon +31 more,326
17,Novac Technology Solutions,3.9,326,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal",Software Product | 1k-5k Employees | 18 years old | Chennai +19 more,326
18,CareerNet Consulting,3.7,325,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Recruitment | 1k-5k Employees | 25 years old | Bangalore +12 more,325
19,Munjal Showa,3.5,325,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Auto Components | 1k-5k Employees | Public | 39 years old | Gurgaon/Gurugram +12 more,325
0,Munjal Showa,3.5,325,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Auto Components | 1k-5k Employees | Public | 39 years old | Gurgaon/Gurugram +12 more,325
1,Jubilant Agri and Consumer Products,4.0,325,"Work Life Balance, Job Security, Salary & Benefits",,Chemicals | 501-1k Employees | 14 years old | Gurgaon/Gurugram +65 more,325
2,Liberty General Insurance,3.7,325,"Promotions / Appraisal, Work Satisfaction, Job Security",,Insurance | 1k-5k Employees | 11 years old | Mumbai +71 more,325
3,IIC Technologies,3.9,325,Job Security,"Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 1k-5k Employees | Public | 30 years old | Hyderabad/Secunderabad +20 more,325
4,CareerNet Consulting,3.7,325,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Recruitment | 1k-5k Employees | 25 years old | Bangalore +12 more,325
5,Xdbs,3.2,325,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",,Marketing & Advertising | 1k-5k Employees | 12 years old | Redwood City +3 more,325
6,MAYORA,3.9,325,"Job Security, Promotions / Appraisal, Work Satisfaction",,FMCG | 1k-5k Employees | 16 years old | Hyderabad +67 more,325
7,Ind-Swift Laboratories,3.6,324,Job Security,"Promotions / Appraisal, Salary & Benefits",1k-5k Employees | Public | 29 years old | Chandigarh +21 more,324
8,Audi,4.1,324,"Skill Development / Learning, Job Security, Work Life Balance",,Automobile | 501-1k Employees | 115 years old | Ingolstadt +48 more,324
9,Royal Orchid Hotels,4.1,324,"Job Security, Skill Development / Learning, Company Culture",,Hospitality | 1k-5k Employees | Public | 38 years old | Bangalore/Bengaluru +41 more,324
10,Aquasub Engineering,3.7,324,"Promotions / Appraisal, Job Security",,Industrial Machinery | 5k-10k Employees | 41 years old | Bangalore/Bengaluru +10 more,324
11,Indraprastha Gas,4.2,324,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,Oil & Gas | 501-1k Employees | Public | 26 years old | Mumbai +18 more,324
12,Par Pharmaceutical Companies,4.2,324,"Salary & Benefits, Work Life Balance, Company Culture",,Pharma | 201-500 Employees | 46 years old | Chestnut Ridge +8 more,324
13,Keihin Fie,4.4,324,"Company Culture, Skill Development / Learning, Job Security",,Auto Components | 1k-5k Employees | 68 years old | Pune +13 more,324
14,Nissin Brake,4.1,324,"Company Culture, Work Life Balance, Salary & Benefits",,Auto Components | 201-500 Employees | 17 years old | Nagano +12 more,324
15,Havmor Ice Cream,4.1,324,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,Food Processing | 1k-5k Employees | 80 years old | Ahmedabad +54 more,324
16,Brembo Brake India,4.3,324,"Salary & Benefits, Work Life Balance, Job Security",,Auto Components | 501-1k Employees | 19 years old | Stezzano +15 more,324
17,Rao IIT Academy,3.5,324,Salary & Benefits,,Education & Training | 11-50 Employees | 10 years old | Mumbai +17 more,324
18,Teleysia Networks,3.5,323,"Promotions / Appraisal, Salary & Benefits, Job Security",,Telecom | 201-500 Employees | 16 years old | Ahmedabad +31 more,323
19,Toyota,4.3,323,"Company Culture, Skill Development / Learning, Job Security",,Automobile | 5k-10k Employees | 87 years old | Toyota City +83 more,323
0,Jumio,3.7,323,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal",IT Services & Consulting | 201-500 Employees | 14 years old | Palo Alto +8 more,323
1,Insolutions Global,3.6,323,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",FinTech | 1k-5k Employees | 20 years old | Mumbai +18 more,323
2,SS Supply Chain Solutions,4.3,323,"Skill Development / Learning, Work Satisfaction, Company Culture",,IT Services & Consulting | 201-500 Employees | 12 years old | Gurgaon +34 more,323
3,360 Realtors,3.7,323,Skill Development / Learning,,Real Estate | 501-1k Employees | 10 years old | Gurgaon/Gurugram +24 more,323
4,UCAL Fuel Systems,3.7,323,"Promotions / Appraisal, Salary & Benefits, Job Security",,Auto Components | 501-1k Employees | Public | 39 years old | Chennai +17 more,323
5,Kalyani Technoforge,4.0,323,"Skill Development / Learning, Job Security",Promotions / Appraisal,1k-5k Employees | 45 years old | Pune +13 more,323
6,DesignTech Systems,3.3,323,"Salary & Benefits, Promotions / Appraisal, Company Culture",,IT Services & Consulting | 501-1k Employees | 26 years old | Pune +31 more,323
7,Numeric UPS,3.8,323,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Consumer Electronics & Appliances | 1k-5k Employees | 40 years old | Chennai +64 more,323
8,Great Learning,3.8,323,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",,EdTech | 1k-5k Employees | Startup | 11 years old | Gurgaon +9 more,323
9,Scaler Academy,4.0,323,"Salary & Benefits, Work Life Balance, Company Culture",Job Security,EdTech | 1k-5k Employees | Startup | 5 years old | Bangalore +6 more,323
10,First Flight Couriers,4.1,322,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,Logistics | 1k-5k Employees | 36 years old | Mumbai +74 more,322
